study	pathogen	library	design	replicate	plate	well	gene	sirna	well_type	image_idx	object_idx	cells.children_bacteria_count	cells.children_invasomes_count	cells.intensity_maxintensityedge_corr1actin	cells.parent_nuclei	nuclei.intensity_uppertenpercentintensity_corr1pathogen	perinuclei.intensity_upperquartileintensity_corr1actin
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	30	55	0.0	0.0	-0.6033511017674109	0.0	-0.36856849427529637	0.5705794273918743
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	26	15	0.0	0.0	-0.8281444691720741	0.0	-0.26307188413731747	-0.2318166370355331
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	30	66	0.0	0.0	0.2702533836030101	0.0	-0.32064861242342124	0.3199965234654535
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	29	1	0.0	0.0	-0.2998430073741687	0.0	0.40246955038177173	-0.5670396076287563
study	bacteria	d	p	1	kb03-1a	a06	mock	none	control	35	199	0.0	0.0	1.370036419939315	0.0	-0.31669356841137547	0.3573592959017274
study	bacteria	d	p	1	kb03-1a	a06	mock	none	control	33	201	0.0	0.0	-0.36719463435639543	0.0	-0.37322398800168877	-0.03469769576930202
study	bacteria	d	p	1	kb03-1a	a06	mock	none	control	33	82	0.0	0.0	-0.14909269312165335	0.0	0.6093320587640569	0.838652098543875
study	bacteria	d	p	1	kb03-1a	a06	mock	none	control	36	171	0.0	0.0	-1.1416142218455057	0.0	-0.285452751987834	-1.061223272134614
study	bacteria	d	p	1	kb03-1a	a06	mock	none	control	32	99	0.0	0.0	1.2328227749663583	0.0	4.231763913235178	-0.3745696071880395
study	bacteria	d	p	1	kb03-1a	a06	mock	none	control	35	222	0.0	0.0	0.8731682492311449	0.0	-0.32607757707160845	0.01656409230586735
study	bacteria	d	p	1	kb03-1a	a06	mock	none	control	36	177	0.0	0.0	-0.49028245810161597	0.0	1.9390145862579395	-0.20319695191958215
study	bacteria	d	p	1	kb03-1a	a06	mock	none	control	31	42	0.0	0.0	-0.09922648457633035	0.0	-0.12915009553063903	-0.3502747469045539
study	bacteria	d	p	1	kb03-1a	a06	mock	none	control	31	85	0.0	0.0	-0.5117535534894423	0.0	5.729399058041482	-0.8195516944529354
study	bacteria	d	p	1	kb03-1a	a06	mock	none	control	36	83	0.0	0.0	-0.11447306446021584	0.0	-0.416590113588735	-0.2956648550629264
study	bacteria	d	p	1	kb03-1a	a07	mock	none	control	41	80	0.0	0.0	-1.113340831036023	0.0	-0.3645983330145246	-0.5192353024975895
study	bacteria	d	p	1	kb03-1a	a07	mock	none	control	38	63	0.0	0.0	0.14313698901694294	0.0	-0.3586078041527428	0.19329398699119604
study	bacteria	d	p	1	kb03-1a	a07	mock	none	control	42	71	0.0	0.0	0.17755919032454798	0.0	-0.3047769613579244	-0.48836003633697717
study	bacteria	d	p	1	kb03-1a	a07	mock	none	control	38	121	0.0	0.0	-0.4237513899735257	0.0	-0.400504856809472	0.15998641860597085
study	bacteria	d	p	1	kb03-1a	a07	mock	none	control	39	66	0.0	0.0	0.2383752409923917	0.0	0.4689281366006955	0.9879954433324499
study	bacteria	d	p	1	kb03-1a	a07	mock	none	control	41	7	0.0	0.0	-0.9684485935606686	0.0	-0.2811931083102944	-0.7657366136462694
study	bacteria	d	p	1	kb03-1a	a07	mock	none	control	39	28	0.0	0.0	-0.18560873617491394	0.0	-0.165072939806259	0.5596144049990367
study	bacteria	d	p	1	kb03-1a	a07	mock	none	control	39	168	0.0	0.0	-1.0632526654558887	0.0	-0.37017811074102713	-0.9290420795440648
study	bacteria	d	p	1	kb03-1a	a07	mock	none	control	40	10	0.0	0.0	1.1645131959203552	0.0	0.7855927910020033	0.1394003003804618
study	bacteria	d	p	1	kb03-1a	a07	mock	none	control	41	10	0.0	0.0	2.6168059632214997	0.0	-0.2570619026576613	0.05125751722814712
study	bacteria	d	p	1	kb03-1a	a08	mock	none	control	46	72	0.0	0.0	-0.3939641283754926	0.0	-0.34295339274908004	0.02487274715236869
study	bacteria	d	p	1	kb03-1a	a08	mock	none	control	47	13	0.0	0.0	-0.321318390504233	0.0	-0.23396700137384938	-0.23500184000797397
study	bacteria	d	p	1	kb03-1a	a08	mock	none	control	43	114	0.0	0.0	2.095536806066368	0.0	0.5564764032731344	3.350323522600547
study	bacteria	d	p	1	kb03-1a	a08	mock	none	control	47	39	0.0	0.0	-0.26302060563932045	0.0	-0.21771973762391184	-0.3238481564279293
study	bacteria	d	p	1	kb03-1a	a08	mock	none	control	47	161	0.0	0.0	-0.19509223977095988	0.0	-0.32680157531610915	-0.512950864205975
study	bacteria	d	p	1	kb03-1a	a08	mock	none	control	44	158	0.0	0.0	0.020196629499027435	0.0	-0.3783037259647577	0.5916563952828213
study	bacteria	d	p	1	kb03-1a	a08	mock	none	control	47	25	0.0	0.0	0.2622528065054423	0.0	-0.26927998205715675	0.4156353225277623
study	bacteria	d	p	1	kb03-1a	a08	mock	none	control	44	71	0.0	0.0	-0.8023805424859058	0.0	-0.2635835932000404	-0.4363563319150814
study	bacteria	d	p	1	kb03-1a	a08	mock	none	control	43	122	0.0	0.0	-0.6980566694161349	0.0	-0.3968979375204789	-0.34383880677256173
study	bacteria	d	p	1	kb03-1a	a08	mock	none	control	43	174	0.0	0.0	-0.2706330754629707	0.0	-0.2599821077311578	0.4353179018500184
study	bacteria	d	p	1	kb03-1a	a09	mock	none	control	50	38	0.0	0.0	0.014411159351737765	0.0	1.5001408566162258	1.3292120757797998
study	bacteria	d	p	1	kb03-1a	a09	mock	none	control	51	128	0.0	0.0	1.995457887090515	0.0	-0.27430550126905684	-0.14250675596667614
study	bacteria	d	p	1	kb03-1a	a09	mock	none	control	50	64	0.0	0.0	2.084001895169375	0.0	-0.3246490447749848	0.4915191777768251
study	bacteria	d	p	1	kb03-1a	a09	mock	none	control	49	173	0.0	0.0	-0.5820801680173612	0.0	-0.32663460233420644	-0.7242943996174214
study	bacteria	d	p	1	kb03-1a	a09	mock	none	control	54	65	0.0	0.0	-1.454799576335289	0.0	1.9845165989848612	-0.6159900705457065
study	bacteria	d	p	1	kb03-1a	a09	mock	none	control	50	107	0.0	0.0	-0.8554174459241851	0.0	-0.4101725420097241	-0.7856620570950975
study	bacteria	d	p	1	kb03-1a	a09	mock	none	control	52	233	0.0	0.0	0.8259131009716512	0.0	-0.3123691521949488	-0.5813538147019067
study	bacteria	d	p	1	kb03-1a	a09	mock	none	control	54	163	0.0	0.0	-0.591008328285869	0.0	-0.25974069742603784	-0.2337226667807198
study	bacteria	d	p	1	kb03-1a	a09	mock	none	control	52	44	0.0	0.0	-0.874270337227638	0.0	-0.2990268347740177	-0.6440996965147995
study	bacteria	d	p	1	kb03-1a	a09	mock	none	control	52	80	0.0	0.0	-0.9829832813187155	0.0	-0.3606123543834169	-0.1362510452039781
study	bacteria	d	p	1	kb03-1a	a10	mock	none	control	55	190	0.0	0.0	0.9199750470865194	0.0	-0.2236728102432537	-0.23924730985972212
study	bacteria	d	p	1	kb03-1a	a10	mock	none	control	57	185	0.0	0.0	-0.6310771062423581	0.0	-0.011076676333783479	-0.14745831670657847
study	bacteria	d	p	1	kb03-1a	a10	mock	none	control	56	140	0.0	0.0	4.21559283683467	0.0	-0.33126381932645804	0.5178226684362409
study	bacteria	d	p	1	kb03-1a	a10	mock	none	control	60	184	0.0	0.0	-0.6029866067719858	0.0	-0.36501356502200627	-0.5036091806491892
study	bacteria	d	p	1	kb03-1a	a10	mock	none	control	60	223	0.0	0.0	-0.5499048998990571	0.0	-0.27615401992286537	-0.5691154213331052
study	bacteria	d	p	1	kb03-1a	a10	mock	none	control	57	34	0.0	0.0	-0.645271664382854	0.0	-0.2822884037090513	-0.05012792785489973
study	bacteria	d	p	1	kb03-1a	a10	mock	none	control	55	123	0.0	0.0	-1.1287381558796699	0.0	-0.42394219343716155	-0.48291324388309326
study	bacteria	d	p	1	kb03-1a	a10	mock	none	control	60	56	0.0	0.0	-1.1210108068878937	0.0	-0.32356047148234984	-0.945425292030582
study	bacteria	d	p	1	kb03-1a	a10	mock	none	control	56	76	0.0	0.0	-0.18221434251447707	0.0	-0.30764211396284513	1.124842235854771
study	bacteria	d	p	1	kb03-1a	a10	mock	none	control	59	4	0.0	0.0	2.280257556921895	0.0	-0.26011394505162355	-0.5177731007883518
study	bacteria	d	p	1	kb03-1a	a11	mock	none	control	63	183	0.0	0.0	0.05650464922186863	0.0	-0.3113646816430888	-0.7687902425350546
study	bacteria	d	p	1	kb03-1a	a11	mock	none	control	66	61	0.0	0.0	3.2993289296763266	0.0	-0.24208554865342774	0.6478328935900557
study	bacteria	d	p	1	kb03-1a	a11	mock	none	control	61	149	0.0	0.0	0.6852639189513539	0.0	-0.4172893760366414	0.12650290083579444
study	bacteria	d	p	1	kb03-1a	a11	mock	none	control	61	32	0.0	0.0	-0.8331892384331366	0.0	0.0483050534589346	-0.8350330037100427
study	bacteria	d	p	1	kb03-1a	a11	mock	none	control	64	60	0.0	0.0	0.2669603868754868	0.0	3.885483852984451	-0.7927881133294445
study	bacteria	d	p	1	kb03-1a	a11	mock	none	control	65	79	0.0	0.0	0.5979142738858032	0.0	-0.37092960072958264	1.078281693357497
study	bacteria	d	p	1	kb03-1a	a11	mock	none	control	62	46	0.0	0.0	1.4600510082452576	0.0	-0.3969072630921549	0.8004263377449675
study	bacteria	d	p	1	kb03-1a	a11	mock	none	control	61	289	0.0	0.0	-1.1528162522296574	0.0	-0.2827420777467855	-1.0629126382392042
study	bacteria	d	p	1	kb03-1a	a11	mock	none	control	63	192	0.0	0.0	-0.5748155464620138	0.0	0.5120286673531101	-0.9712989541010095
study	bacteria	d	p	1	kb03-1a	a11	mock	none	control	66	4	0.0	0.0	-0.7091382193423743	0.0	5.1559963889784655	-0.8948626409145827
study	bacteria	d	p	1	kb03-1a	a12	mock	none	control	68	112	0.0	0.0	-0.7794708036139996	0.0	3.6732840420915513	5.7727249179724875
study	bacteria	d	p	1	kb03-1a	a12	mock	none	control	72	179	0.0	0.0	2.525106409830632	0.0	0.12285877658766595	0.124069197382668
study	bacteria	d	p	1	kb03-1a	a12	mock	none	control	71	221	0.0	0.0	7.113217304916458	0.0	-0.2992876892878062	-0.09191432006443681
study	bacteria	d	p	1	kb03-1a	a12	mock	none	control	69	167	0.0	0.0	-0.5909415785013558	0.0	-0.3670285245657352	0.12386694601427002
study	bacteria	d	p	1	kb03-1a	a12	mock	none	control	70	3	0.0	0.0	-0.29519342441831276	0.0	0.9181778258131111	-0.4696030091581874
study	bacteria	d	p	1	kb03-1a	a12	mock	none	control	69	73	0.0	0.0	-0.7048288964753849	0.0	0.6246990948594259	0.09370804876976037
study	bacteria	d	p	1	kb03-1a	a12	mock	none	control	72	132	0.0	0.0	0.04188326150803106	0.0	-0.38762726019107235	0.4125345891094875
study	bacteria	d	p	1	kb03-1a	a12	mock	none	control	67	1	0.0	0.0	-0.15108401305697033	0.0	-0.16474965520128687	0.5469205919821889
study	bacteria	d	p	1	kb03-1a	a12	mock	none	control	67	19	0.0	0.0	1.1535673654105483	0.0	1.8804436362415184	1.7053892471357295
study	bacteria	d	p	1	kb03-1a	a12	mock	none	control	71	202	0.0	0.0	0.920126974776019	0.0	-0.286357166338855	-0.5591025553216427
study	bacteria	d	p	1	kb03-1a	a13	mock	none	control	74	202	0.0	0.0	-0.862136929447669	0.0	-0.30067450732105794	-0.5969122005869266
study	bacteria	d	p	1	kb03-1a	a13	mock	none	control	77	94	0.0	0.0	0.1807824128578453	0.0	-0.34025823365338803	-0.7015606897308899
study	bacteria	d	p	1	kb03-1a	a13	mock	none	control	77	129	0.0	0.0	-0.8257733822738976	0.0	-0.26496613729303375	-0.8095322077693823
study	bacteria	d	p	1	kb03-1a	a13	mock	none	control	76	226	0.0	0.0	-0.44591256296843096	0.0	2.8218518845262137	-0.6548095250959448
study	bacteria	d	p	1	kb03-1a	a13	mock	none	control	75	69	0.0	0.0	0.10224596679263655	0.0	-0.20871052138011773	0.5624804766473317
study	bacteria	d	p	1	kb03-1a	a13	mock	none	control	76	222	0.0	0.0	-0.13202758362552433	0.0	-0.2493976803525513	-0.30613955148569155
study	bacteria	d	p	1	kb03-1a	a13	mock	none	control	75	3	0.0	0.0	-0.9789533080544375	0.0	-0.20571492476817632	-0.37986255275051467
study	bacteria	d	p	1	kb03-1a	a13	mock	none	control	74	39	0.0	0.0	-0.665807206905191	0.0	-0.16651525965420053	-0.2890633195596583
study	bacteria	d	p	1	kb03-1a	a13	mock	none	control	77	176	0.0	0.0	-0.710286436526805	0.0	0.4563085051712255	-0.6686326852681067
study	bacteria	d	p	1	kb03-1a	a13	mock	none	control	73	153	0.0	0.0	2.1063958378713763	0.0	-0.30126756622410367	0.9908228475236136
study	bacteria	d	p	1	kb03-1a	a14	mock	none	control	83	94	0.0	0.0	-0.34621477116984284	0.0	-0.22491850552027032	-0.3694112146061186
study	bacteria	d	p	1	kb03-1a	a14	mock	none	control	80	180	0.0	0.0	-0.38253312288288993	0.0	-0.3865386250974922	-0.7637147387383162
study	bacteria	d	p	1	kb03-1a	a14	mock	none	control	79	9	0.0	0.0	-1.1753038100774225	0.0	-0.2797657890030128	-0.7604517525801981
study	bacteria	d	p	1	kb03-1a	a14	mock	none	control	80	230	0.0	0.0	-0.17730738678979782	0.0	-0.2739657023194892	2.195279848892557
study	bacteria	d	p	1	kb03-1a	a14	mock	none	control	79	161	0.0	0.0	0.6364831348533165	0.0	-0.3156148416354879	0.013121434207412
study	bacteria	d	p	1	kb03-1a	a14	mock	none	control	82	98	0.0	0.0	-0.23211805851140568	0.0	-0.3825233457432698	-0.43521582864041464
study	bacteria	d	p	1	kb03-1a	a14	mock	none	control	80	48	0.0	0.0	-0.5182331782861233	0.0	-0.2623070774450252	0.2348694182764375
study	bacteria	d	p	1	kb03-1a	a14	mock	none	control	83	130	0.0	0.0	-0.47111662086570233	0.0	0.38180235064930923	-0.8916892088044749
study	bacteria	d	p	1	kb03-1a	a14	mock	none	control	83	37	0.0	0.0	0.7663476643423397	0.0	1.0978970067714418	1.424723706339446
study	bacteria	d	p	1	kb03-1a	a14	mock	none	control	82	172	0.0	0.0	-1.0346053813869396	0.0	-0.2766778958559787	-1.2742093846358347
study	bacteria	d	p	1	kb03-1a	a15	mock	none	control	86	153	0.0	0.0	-0.5096705602988426	0.0	0.10802539074578078	-0.4967666638227006
study	bacteria	d	p	1	kb03-1a	a15	mock	none	control	90	141	0.0	0.0	0.2164009264184344	0.0	-0.31525331893920117	-0.2791087346305536
study	bacteria	d	p	1	kb03-1a	a15	mock	none	control	90	116	0.0	0.0	0.3347513589406875	0.0	-0.3846786604452018	-0.136617818628767
study	bacteria	d	p	1	kb03-1a	a15	mock	none	control	87	71	0.0	0.0	0.14118281114676706	0.0	-0.36742921965423975	0.21051188215507377
study	bacteria	d	p	1	kb03-1a	a15	mock	none	control	85	203	0.0	0.0	-0.6058153273087283	0.0	3.7196434814227026	-0.28130054552100564
study	bacteria	d	p	1	kb03-1a	a15	mock	none	control	85	191	0.0	0.0	0.24779742983047995	0.0	-0.2728547758044102	1.0067749707969083
study	bacteria	d	p	1	kb03-1a	a15	mock	none	control	85	14	0.0	0.0	-0.7566439509581199	0.0	-0.22486421746227225	-0.5822720419550185
study	bacteria	d	p	1	kb03-1a	a15	mock	none	control	88	121	0.0	0.0	-1.0352280886701353	0.0	-0.37591774588244703	-0.9162648665092888
study	bacteria	d	p	1	kb03-1a	a15	mock	none	control	89	25	0.0	0.0	0.4463632815997495	0.0	-0.2771522019796137	0.8363458017186003
study	bacteria	d	p	1	kb03-1a	a15	mock	none	control	89	149	0.0	0.0	-0.6471754614727172	0.0	-0.21707925317385113	-0.7448807007440654
study	bacteria	d	p	1	kb03-1a	a16	mock	none	control	93	49	0.0	0.0	-0.2882976097564805	0.0	-0.37055353683998166	-1.0365256926739967
study	bacteria	d	p	1	kb03-1a	a16	mock	none	control	91	72	0.0	0.0	0.5152338452887817	0.0	-0.3798039749678746	-0.1343687981132216
study	bacteria	d	p	1	kb03-1a	a16	mock	none	control	96	27	0.0	0.0	1.059180678980552	0.0	-0.2949644464348962	-0.12323712637802577
study	bacteria	d	p	1	kb03-1a	a16	mock	none	control	95	25	0.0	0.0	-0.8045583698492796	0.0	-0.3223489478276707	-0.2585905389562462
study	bacteria	d	p	1	kb03-1a	a16	mock	none	control	92	74	0.0	0.0	0.5688118011709811	0.0	-0.3658818282454107	-0.160017727909515
study	bacteria	d	p	1	kb03-1a	a16	mock	none	control	94	128	0.0	0.0	-0.7278081715852771	0.0	-0.3624582808909114	-0.5012948146797754
study	bacteria	d	p	1	kb03-1a	a16	mock	none	control	92	13	0.0	0.0	0.4136385305447463	0.0	1.1974087305080994	0.6696834907768957
study	bacteria	d	p	1	kb03-1a	a16	mock	none	control	93	101	0.0	0.0	0.058115665913791595	0.0	-0.4268420988964305	-0.7038683331315622
study	bacteria	d	p	1	kb03-1a	a16	mock	none	control	96	168	0.0	0.0	-1.0442375609946646	0.0	0.11113027804095386	-1.1075048195508634
study	bacteria	d	p	1	kb03-1a	a16	mock	none	control	96	117	0.0	0.0	-0.0337275901439705	0.0	1.4475589427286621	0.09556270543622199
study	bacteria	d	p	1	kb03-1a	a17	mock	none	control	98	81	0.0	0.0	0.5727651169988859	0.0	-0.4099889035477915	0.022872405256876664
study	bacteria	d	p	1	kb03-1a	a17	mock	none	control	101	140	0.0	0.0	0.3625207911072672	0.0	-0.3669005601947094	2.01196601392319
study	bacteria	d	p	1	kb03-1a	a17	mock	none	control	97	124	0.0	0.0	-0.29020279014079775	0.0	-0.24872748846192835	0.31581050262712296
study	bacteria	d	p	1	kb03-1a	a17	mock	none	control	102	233	0.0	0.0	-0.49301248972143247	0.0	0.36634555282793163	0.4685006985116209
study	bacteria	d	p	1	kb03-1a	a17	mock	none	control	101	210	0.0	0.0	1.857357014187241	0.0	0.17919229467300138	0.1067892768665981
study	bacteria	d	p	1	kb03-1a	a17	mock	none	control	102	39	0.0	0.0	0.18423117918246684	0.0	-0.3654829288194612	-0.11052585267026954
study	bacteria	d	p	1	kb03-1a	a17	mock	none	control	98	174	0.0	0.0	-0.2048209281461664	0.0	-0.2706370172613426	0.21980417622577278
study	bacteria	d	p	1	kb03-1a	a17	mock	none	control	101	166	0.0	0.0	0.9775788747035737	0.0	-0.3738552860477507	0.6528044849174185
study	bacteria	d	p	1	kb03-1a	a17	mock	none	control	102	196	0.0	0.0	-0.6285992168894864	0.0	-0.31270459183635835	0.23971698466420066
study	bacteria	d	p	1	kb03-1a	a17	mock	none	control	99	101	0.0	0.0	-0.7333147197201337	0.0	-0.3225378118455009	-0.8611154651697742
study	bacteria	d	p	1	kb03-1a	a18	mock	none	control	105	137	0.0	0.0	-0.3265720728585818	0.0	-0.24308543921379258	-0.5356000385561331
study	bacteria	d	p	1	kb03-1a	a18	mock	none	control	104	2	0.0	0.0	-0.5896076658211367	0.0	-0.2707528609450844	-0.8782081742760557
study	bacteria	d	p	1	kb03-1a	a18	mock	none	control	103	53	0.0	0.0	1.8891092653980583	0.0	-0.12921411513492828	0.8258241015956898
study	bacteria	d	p	1	kb03-1a	a18	mock	none	control	108	119	0.0	0.0	1.9461005857362708	0.0	-0.014903718041512507	0.690071400743833
study	bacteria	d	p	1	kb03-1a	a18	mock	none	control	108	114	0.0	0.0	0.8203138519888248	0.0	-0.35083901759965713	-0.30073557293464914
study	bacteria	d	p	1	kb03-1a	a18	mock	none	control	104	80	0.0	0.0	-1.0634333665021762	0.0	0.2505523896817355	1.002354957159021
study	bacteria	d	p	1	kb03-1a	a18	mock	none	control	108	11	0.0	0.0	-1.176669893453622	0.0	-0.280399860668273	-0.5434940066302638
study	bacteria	d	p	1	kb03-1a	a18	mock	none	control	108	108	0.0	0.0	0.7217835339201781	0.0	-0.3047288222917998	0.057408784284830545
study	bacteria	d	p	1	kb03-1a	a18	mock	none	control	108	41	0.0	0.0	-0.10810476194947559	0.0	-0.32221238523312107	-0.6925114965734047
study	bacteria	d	p	1	kb03-1a	a18	mock	none	control	107	55	0.0	0.0	-1.033498936169852	0.0	-0.37620344659713095	-0.617947175893506
